X	Y	surface	subsurface	Depth
-30	-2	3.00408243	2.531287387	0.472795043
-29.5	-2	3.135326374	2.646440048	0.488886326
-29	-2	3.26214028	2.757700626	0.504439654
-28.5	-2	3.383209829	2.864123918	0.519085911
-28	-2	3.497465484	2.965143005	0.532322478
-27.5	-2	3.603895154	3.06045484	0.543440314
-27	-2	3.701493846	3.150136648	0.551357199
-26.5	-2	3.79141242	3.235890988	0.555521432
-26	-2	3.867368954	3.314244912	0.553124042
-25.5	-2	3.929864136	3.386662343	0.543201794
-25	-2	3.977754482	3.452380865	0.525373617
-24.5	-2	4.008237761	3.507159411	0.50107835
-24	-2	4.021607835	3.547533956	0.474073879
-23.5	-2	4.015199224	3.566042562	0.449156662
-23	-2	3.989429873	3.558937885	0.430491987
-22.5	-2	3.940548941	3.52069014	0.4198588
-22	-2	3.870209318	3.454000554	0.416208763
-21.5	-2	3.777051096	3.359449723	0.417601373
-21	-2	3.6633526	3.241996064	0.421356536
-20.5	-2	3.529562494	3.104105713	0.425456781
-20	-2	3.381431496	2.95324948	0.428182016
-19.5	-2	3.218268922	2.790129662	0.42813926
-19	-2	3.042905475	2.616713314	0.426192161
-18.5	-2	2.857545705	2.434775174	0.422770531
-18	-2	2.653905913	2.23436557	0.419540343
-17.5	-2	2.441809414	2.025829467	0.415979946
-17	-2	2.222419184	1.811694106	0.410725077
-16.5	-2	2.00194481	1.598475025	0.403469785
-16	-2	1.786469962	1.389973909	0.396496053
-15.5	-2	1.583372184	1.184343463	0.399028721
-15	-2	1.395983023	0.980060018	0.415923005
-14.5	-2	1.221261201	0.78326423	0.437996972
-14	-2	1.054949167	0.596712813	0.458236354
-13.5	-2	0.895712729	0.421051738	0.47466099
-13	-2	0.744415396	0.26140402	0.483011376
-12.5	-2	0.601804578	0.126150099	0.47565448
-12	-2	0.466347148	0.00916484	0.457182307
-11.5	-2	0.336957565	-0.104690675	0.44164824
-11	-2	0.212423001	-0.221705163	0.434128164
-10.5	-2	0.104474554	-0.305873085	0.410347639
-10	-2	0.015927192	-0.347352496	0.363279688
-9.5	-2	-0.064851253	-0.383841703	0.31899045
-9	-2	-0.136928075	-0.416127541	0.279199466
-8.5	-2	-0.198641233	-0.451764739	0.253123507
-8	-2	-0.248032431	-0.506519719	0.258487288
-7.5	-2	-0.286166548	-0.568820197	0.282653649
-7	-2	-0.315436923	-0.62212545	0.306688527
-6.5	-2	-0.335757989	-0.66288958	0.327131591
-6	-2	-0.349666346	-0.694376894	0.344710548
-5.5	-2	-0.357400857	-0.717980496	0.360579638
-5	-2	-0.362090266	-0.736977325	0.37488706
-4.5	-2	-0.364394766	-0.750125485	0.385730719
-4	-2	-0.367882493	-0.755267037	0.387384544
-3.5	-2	-0.375298661	-0.751608255	0.376309594
-3	-2	-0.384196182	-0.73469823	0.350502048
-2.5	-2	-0.393504215	-0.687326708	0.293822493
-2	-2	-0.406414098	-0.631330431	0.224916333
-1.5	-2	-0.426820777	-0.585192528	0.158371751
-1	-2	-0.458513117	-0.561061585	0.102548468
-0.5	-2	-0.505323525	-0.567098896	0.061775371
0	-2	-0.567874774	-0.602268624	0.03439385
0.5	-2	-0.643703131	-0.66005698	0.016353849
1	-2	-0.725548566	-0.732151144	0.006602578
1.5	-2	-0.80418835	-0.805341669	0.001153319
2	-2	-0.86831114	-0.86673129	-0.001579849
2.5	-2	-0.902636119	-0.901447778	-0.001188341
3	-2	-0.889926756	-0.894619249	0.004692493
3.5	-2	-0.826367337	-0.845027245	0.018659908
4	-2	-0.730258069	-0.77333469	0.043076621
4.5	-2	-0.623804002	-0.703371773	0.079567771
5	-2	-0.520006339	-0.646457371	0.126451032
5.5	-2	-0.424659418	-0.602916102	0.178256684
6	-2	-0.339660188	-0.568932287	0.229272099
6.5	-2	-0.265025467	-0.540962473	0.275937006
7	-2	-0.199870914	-0.517659731	0.317788818
7.5	-2	-0.141485212	-0.49541154	0.353926328
8	-2	-0.088056622	-0.474553541	0.386496919
8.5	-2	-0.040305385	-0.455656834	0.415351449
9	-2	-0.004568059	-0.448448975	0.443880916
9.5	-2	0.043719854	-0.421931094	0.465650948
10	-2	0.100235108	-0.375130134	0.475365241
10.5	-2	0.165562723	-0.307351934	0.472914658
11	-2	0.233276328	-0.233142331	0.466418659
11.5	-2	0.300997572	-0.157845438	0.45884301
12	-2	0.368252847	-0.08270537	0.450958217
12.5	-2	0.430251722	-0.013288814	0.443540535
13	-2	0.491436645	0.056000909	0.435435736
13.5	-2	0.554967917	0.128075648	0.426892268
14	-2	0.616056289	0.198072162	0.417984128
14.5	-2	0.677529943	0.266658678	0.410871264
15	-2	0.739472728	0.335836661	0.403636068
15.5	-2	0.800212153	0.40336578	0.396846373
16	-2	0.829062812	0.432877335	0.396185477
16.5	-2	0.887645282	0.497800122	0.38984516
17	-2	0.947393762	0.562140901	0.385252861
17.5	-2	0.835246544	0.42001574	0.415230804
18	-2	0.88619141	0.475305264	0.410886146
18.5	-2	0.937368291	0.530750326	0.406617965
19	-2	0.988459465	0.58615462	0.402304844
19.5	-2	1.040048269	0.641828312	0.398219957
20	-2	1.091821513	0.69757484	0.394246674
-30	-1.5	3.077721711	2.612469961	0.46525175
-29.5	-1.5	3.201892958	2.722878701	0.479014257
-29	-1.5	3.324084988	2.832070664	0.492014324
-28.5	-1.5	3.44187439	2.938044732	0.503829659
-28	-1.5	3.554924994	3.041049735	0.513875259
-27.5	-1.5	3.661483731	3.139989479	0.521494252
-27	-1.5	3.761044466	3.235373241	0.525671226
-26.5	-1.5	3.853644829	3.327189212	0.526455617
-26	-1.5	3.933452806	3.412056624	0.521396182
-25.5	-1.5	4.000800963	3.490158209	0.510642754
-25	-1.5	4.054710641	3.560226143	0.494484498
-24.5	-1.5	4.09200066	3.617351571	0.474649089
-24	-1.5	4.112550951	3.65861245	0.453938501
-23.5	-1.5	4.113375499	3.677867727	0.435507772
-23	-1.5	4.094689276	3.67290206	0.421787215
-22.5	-1.5	4.052940152	3.639686509	0.413253642
-22	-1.5	3.990123945	3.581322046	0.408801899
-21.5	-1.5	3.906832816	3.499882704	0.406950112
-21	-1.5	3.80354333	3.397011064	0.406532266
-20.5	-1.5	3.679704576	3.272356091	0.407348485
-20	-1.5	3.538871923	3.129552665	0.409319257
-19.5	-1.5	3.381942047	2.969339259	0.412602787
-19	-1.5	3.212139387	2.795013978	0.417125409
-18.5	-1.5	3.027927501	2.606645578	0.421281923
-18	-1.5	2.828314146	2.404984488	0.423329658
-17.5	-1.5	2.620891735	2.197377658	0.423514077
-17	-1.5	2.407633973	1.986605296	0.421028677
-16.5	-1.5	2.194552559	1.778173487	0.416379072
-16	-1.5	1.986140347	1.574455037	0.411685311
-15.5	-1.5	1.786277636	1.37417902	0.412098616
-15	-1.5	1.597764022	1.180343567	0.417420455
-14.5	-1.5	1.419677351	0.992671062	0.427006288
-14	-1.5	1.250152155	0.81215074	0.438001415
-13.5	-1.5	1.08825793	0.639677587	0.448580342
-13	-1.5	0.934517953	0.479344697	0.455173256
-12.5	-1.5	0.787887715	0.33293999	0.454947725
-12	-1.5	0.647685083	0.198267467	0.449417616
-11.5	-1.5	0.514233315	0.070415914	0.443817401
-11	-1.5	0.387846708	-0.050148179	0.437994888
-10.5	-1.5	0.27640265	-0.141348161	0.417750811
-10	-1.5	0.180951097	-0.19887745	0.379828546
-9.5	-1.5	0.095390286	-0.241811553	0.337201839
-9	-1.5	0.018143963	-0.27197341	0.290117372
-8.5	-1.5	-0.05075567	-0.288079979	0.237324309
-8	-1.5	-0.103141114	-0.356650077	0.253508963
-7.5	-1.5	-0.144146698	-0.430762484	0.286615786
-7	-1.5	-0.177508828	-0.489823432	0.312314603
-6.5	-1.5	-0.202449251	-0.536046487	0.333597236
-6	-1.5	-0.219775771	-0.573306618	0.353530847
-5.5	-1.5	-0.230597287	-0.60369667	0.373099383
-5	-1.5	-0.23744898	-0.63000069	0.39255171
-4.5	-1.5	-0.24059357	-0.651819411	0.411225841
-4	-1.5	-0.246252996	-0.66710998	0.420856984
-3.5	-1.5	-0.259395404	-0.669792324	0.41039692
-3	-1.5	-0.272327527	-0.665141459	0.392813932
-2.5	-1.5	-0.284156289	-0.618039133	0.333882843
-2	-1.5	-0.298907716	-0.564554527	0.26564681
-1.5	-1.5	-0.319173847	-0.517017229	0.197843382
-1	-1.5	-0.347378547	-0.479611449	0.132232902
-0.5	-1.5	-0.385773068	-0.458033932	0.072260863
0	-1.5	-0.436570523	-0.464162018	0.027591495
0.5	-1.5	-0.498491587	-0.505104528	0.006612942
1	-1.5	-0.565642561	-0.568748096	0.003105535
1.5	-1.5	-0.628024654	-0.632565556	0.004540902
2	-1.5	-0.675454172	-0.680639	0.005184827
2.5	-1.5	-0.696389647	-0.701478419	0.005088772
3	-1.5	-0.683671796	-0.690090821	0.006419024
3.5	-1.5	-0.636349085	-0.647985532	0.011636447
4	-1.5	-0.563720015	-0.589131724	0.025411709
4.5	-1.5	-0.479121894	-0.533983024	0.05486113
5	-1.5	-0.393337837	-0.493527357	0.10018952
5.5	-1.5	-0.310894084	-0.462651635	0.151757551
6	-1.5	-0.234040995	-0.436648416	0.202607422
6.5	-1.5	-0.163828002	-0.413438062	0.24961006
7	-1.5	-0.10000522	-0.391843251	0.291838031
7.5	-1.5	-0.041846332	-0.371213921	0.329367589
8	-1.5	0.012969459	-0.350543138	0.363512597
8.5	-1.5	0.063223167	-0.329915313	0.39313848
9	-1.5	0.098780563	-0.323067926	0.421848489
9.5	-1.5	0.150889046	-0.29026738	0.441156426
10	-1.5	0.205693594	-0.246009202	0.451702796
10.5	-1.5	0.271045869	-0.18455464	0.455600509
11	-1.5	0.340094666	-0.114392098	0.454486763
11.5	-1.5	0.410583107	-0.039429507	0.450012613
12	-1.5	0.480935783	0.035815191	0.445120593
12.5	-1.5	0.524837767	0.087260455	0.437577312
13	-1.5	0.584787007	0.153955452	0.430831555
13.5	-1.5	0.64740094	0.224069864	0.423331076
14	-1.5	0.709021023	0.293185097	0.415835926
14.5	-1.5	0.769035302	0.359760161	0.409275141
15	-1.5	0.830232763	0.427570123	0.40266264
15.5	-1.5	0.890288906	0.493931552	0.396357354
16	-1.5	0.949501907	0.556317263	0.393184644
16.5	-1.5	1.009153504	0.622044379	0.387109125
17	-1.5	1.068924649	0.686234639	0.382690009
17.5	-1.5	1.130244118	0.756685393	0.373558725
18	-1.5	1.188693461	0.82087763	0.367815831
18.5	-1.5	1.246663663	0.884405471	0.362258192
19	-1.5	1.089121574	0.696483319	0.392638255
19.5	-1.5	1.140182319	0.751695323	0.388486997
20	-1.5	1.19142512	0.806974293	0.384450827
-30	-1	3.164522753	2.706999931	0.457522822
-29.5	-1	3.280558466	2.811587044	0.468971422
-29	-1	3.396860361	2.917364301	0.47949606
-28.5	-1	3.511194075	3.022567661	0.488626414
-28	-1	3.621883277	3.126053596	0.495829681
-27.5	-1	3.727555587	3.227061419	0.500494168
-27	-1	3.837390432	3.33888744	0.498502992
-26.5	-1	3.922196398	3.422227782	0.499968616
-26	-1	4.005441327	3.512364487	0.49307684
-25.5	-1	4.07760502	3.595927421	0.481677599
-25	-1	4.137685069	3.671185355	0.466499714
-24.5	-1	4.182415821	3.733319202	0.44909662
-24	-1	4.210580164	3.778198999	0.432381164
-23.5	-1	4.218309225	3.799414602	0.418894623
-23	-1	4.206191081	3.796329491	0.40986159
-22.5	-1	4.171293145	3.766867814	0.404425331
-22	-1	4.116224827	3.71567453	0.400550297
-21.5	-1	4.041149911	3.644671276	0.396478635
-21	-1	3.948157064	3.556267064	0.39189
-20.5	-1	3.833703519	3.444545835	0.389157684
-20	-1	3.701146344	3.310576828	0.390569517
-19.5	-1	3.550327786	3.152692984	0.397634802
-19	-1	3.383337327	2.97444013	0.408897197
-18.5	-1	3.202388516	2.781266664	0.421121851
-18	-1	3.006304835	2.575933077	0.430371758
-17.5	-1	2.802165101	2.366805132	0.435359969
-17	-1	2.593790649	2.157540616	0.436250033
-16.5	-1	2.385714088	1.951196683	0.434517405
-16	-1	2.183074524	1.753473549	0.429600976
-15.5	-1	1.986595034	1.56182885	0.424766184
-15	-1	1.798132612	1.377640435	0.420492177
-14.5	-1	1.61917727	1.201099278	0.418077991
-14	-1	1.447306099	1.027670214	0.419635884
-13.5	-1	1.283453707	0.858674114	0.424779594
-13	-1	1.127179429	0.696444898	0.43073453
-12.5	-1	0.97843398	0.543558864	0.434875117
-12	-1	0.835231934	0.398825892	0.436406041
-11.5	-1	0.699282207	0.262924199	0.436358009
-11	-1	0.571680018	0.139277134	0.432402884
-10.5	-1	0.455721132	0.036231271	0.41948986
-10	-1	0.353047211	-0.043712668	0.396759879
-9.5	-1	0.261791487	-0.105435828	0.367227315
-9	-1	0.179695932	-0.15274182	0.332437751
-8.5	-1	0.10749872	-0.191475724	0.298974444
-8	-1	0.048400937	-0.249608627	0.298009564
-7.5	-1	0.000521838	-0.313401667	0.313923505
-7	-1	-0.037953533	-0.366959213	0.329005681
-6.5	-1	-0.066846161	-0.411500334	0.344654173
-6	-1	-0.087371746	-0.450113999	0.362742253
-5.5	-1	-0.100977772	-0.483967191	0.382989419
-5	-1	-0.110996718	-0.515049168	0.40405245
-4.5	-1	-0.11885302	-0.542142325	0.423289305
-4	-1	-0.128549178	-0.561156813	0.432607635
-3.5	-1	-0.141743009	-0.566986604	0.425243595
-3	-1	-0.155936221	-0.557844363	0.401908142
-2.5	-1	-0.170323536	-0.528715982	0.358392446
-2	-1	-0.186214985	-0.488825238	0.302610252
-1.5	-1	-0.205057597	-0.445850014	0.240792417
-1	-1	-0.228118957	-0.399285846	0.17116689
-0.5	-1	-0.25644641	-0.347565841	0.091119431
0	-1	-0.293854625	-0.316684773	0.022830148
0.5	-1	-0.344638054	-0.349562386	0.004924332
1	-1	-0.40106318	-0.416097582	0.015034402
1.5	-1	-0.4513994	-0.474394947	0.022995546
2	-1	-0.4868659	-0.510785831	0.023919931
2.5	-1	-0.501253035	-0.521538323	0.020285288
3	-1	-0.48903565	-0.504812439	0.015776789
3.5	-1	-0.450841058	-0.461396448	0.01055539
4	-1	-0.392020454	-0.400992787	0.008972333
4.5	-1	-0.324014282	-0.353973803	0.029959521
5	-1	-0.255337465	-0.335154833	0.079817368
5.5	-1	-0.185733695	-0.3183174	0.132583704
6	-1	-0.117643784	-0.300398681	0.182754897
